Asia,Australia and Oceania,Central America and the Caribbean,Europe,Middle East and North Africa,North America,Sub-Saharan Africa
Indonesia,Tuvalu,Antigua and Barbuda ,Iceland,Lebanon,Greenland,Namibia
India,Samoa ,Saint Kitts and Nevis ,Russia,Turkey,United States of America,Djibouti
South Korea,Fiji,Saint Lucia,Moldova ,Iraq,Canada,Cameroon
Kazakhstan,Marshall Islands,Trinidad and Tobago,Malta,Kuwait,Mexico,Nigeria
Mongolia,New Zealand,Guatemala,Greece,Tunisia ,,Senegal
Malaysia,Solomon Islands,Saint Vincent and the Grenadines,Ukraine,Yemen,,Rwanda
Singapore,Vanuatu,Jamaica,Finland,United Arab Emirates,,South Sudan
Brunei,Australia,Grenada,United Kingdom,Bahrain,,Guinea
Kyrgyzstan,Papua New Guinea,Honduras,San Marino,Pakistan,,Botswana
Taiwan,Nauru,Belize,Kosovo,Somalia,,Sudan
Sri Lanka,Kiribati,Barbados,Hungary,Egypt,,Tanzania
North Korea,Tonga,El Salvador,Serbia,Iran,,Sao Tome and Principe
Cambodia,Palau,Dominican Republic,Poland,Jordan,,Cape Verde
Tajikistan,East Timor,The Bahamas,Lithuania,Syria,,Guinea-Bissau
Turkmenistan,Federated States of Micronesia,Cuba,Portugal,Morocco,,South Africa
Maldives,,Nicaragua,Georgia,Afghanistan,,Sierra Leone
Laos,,Costa Rica,Bulgaria,Azerbaijan,,Mozambique
Myanmar,,Panama,Austria,Saudi Arabia,,Chad
Bhutan,,Dominica,Romania,Libya,,Togo
Vietnam,,Haiti,Denmark,Algeria,,Mali
Japan,,,Luxembourg,Oman,,Equatorial Guinea
Philippines,,,Croatia,Israel,,Eritrea
China,,,Sweden,Qatar,,Niger
Bangladesh,,,Cyprus,,,Madagascar
Uzbekistan,,,Montenegro,,,Gabon
Thailand,,,Vatican City,,,Angola
Nepal,,,France,,,Ethiopia
,,,Netherlands,,,Liberia
,,,Estonia,,,Democratic Republic of the Congo
,,,Bosnia and Herzegovina,,,Seychelles 
,,,Monaco,,,Mauritius 
,,,Germany,,,Comoros
,,,Slovenia,,,Burundi
,,,Ireland,,,Zambia
,,,Latvia,,,Lesotho
,,,Belgium,,,The Gambia
,,,Switzerland,,,Benin
,,,Italy,,,Malawi
,,,Belarus,,,Mauritania
,,,Czech Republic,,,Central African Republic
,,,Liechtenstein,,,Kenya
,,,Macedonia,,,Ghana
,,,Slovakia,,,Swaziland
,,,Spain,,,Burkina Faso
,,,Andorra,,,Uganda
,,,Albania,,,Zimbabwe
,,,Norway,,,Cote d'Ivoire
,,,Armenia,,,Republic of the Congo
